DiscreteTask,32
TrialNumber,12,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,1287,N/A
MotionDuration,1.08455,(s)
targetTime,1.4,(s)
MaxResidAngle,4.39467,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00130952,0,0,0,-0.126007,8.86178e-005,0.00493819,0,0.0192556,0.00240182,-0.0265104
0.0127815,0,0,0,-0.126007,-7.82747e-006,0.00407263,0,0.0192556,0.00240182,-0.0656605
0.0238269,0,0,0,-0.126007,-2.77355e-005,-0.0103665,0,-0.0349525,-0.0537731,-0.00302037
0.0351148,0,0,0,-0.126007,-1.32018e-005,0.00198014,0,-0.0319038,-0.00822824,0.0361297
0.0459025,0,0,0,-0.126008,-1.52905e-005,0.00563318,0,0.00220243,-0.00114153,-0.0186804
0.0571261,0,0,0,-0.126008,7.0341e-006,0.00105394,0,0.0210364,0.0096813,-0.0186804
0.0677989,0,0,0,-0.126008,-5.73092e-006,0.00257094,0,-0.00543373,0.000726574,-0.0578305
0.0789017,0,0,0,-0.126008,-5.73219e-006,0.0155749,0,0.0187429,0.0333876,-0.0265104
0.089321,0,0,0,-0.126008,-2.90817e-005,0.0016087,0,0.0368214,-0.0250411,-0.0186804
0.0999778,0,0,0,-0.126009,-4.4539e-005,0.000478846,0,0.048532,-0.0433363,-0.0265104
0.112279,0,0,0,-0.126009,-4.76663e-005,0.000313253,0,0.0314789,-0.0468795,-0.0265104
0.122966,0,0,0,-0.126009,-4.06297e-005,0.0105152,0,0.0556555,-0.0142184,-0.00302037
0.134232,0,0,0,-0.12601,-4.90574e-005,0.00227777,0,0.048532,-0.0433363,0.0361297
0.146404,0,0,0,-0.126011,-5.6146e-005,-0.00633909,0,-0.0232424,-0.072068,0.0282997
0.157278,0,0,0,-0.126011,-5.40496e-005,-0.00658367,0,0.0337724,-0.070586,0.0752798
0.180112,0,0,0,-0.126012,-3.35794e-005,0.00191185,0,0.0520937,-0.0287773,0.0439598
0.190889,0,0,0,-0.126013,-2.43774e-005,-0.00754833,0,0.0485317,-0.0433367,0.0596198
0.201303,0,0,0,-0.126013,-2.4751e-005,0.00285952,0,0.0062767,-0.0175686,-0.0186804
0.213368,0,0,0,-0.126013,-3.67297e-005,-0.00470791,0,0.00678914,-0.0485546,0.0282997
0.225285,0,0,0,-0.126014,-4.34699e-005,0.00443883,0,0.0350403,-0.0323208,0.0439598
0.237269,0,0,0,-0.126014,-4.3135e-005,-0.00662045,0,0.0526059,-0.0597637,0.0674498
0.248858,0,0,0,-0.126015,-6.48506e-005,-0.0030275,0,0.0414073,-0.0724548,0.0282997
0.259857,0,0,0,-0.126016,-7.77462e-005,-0.00220204,0,0.0225731,-0.0832771,0.0987699
0.270863,0,0,0,-0.126016,-9.25812e-005,0.00221664,0,0.0378454,-0.0870136,0.11443
0.282564,0,0,0,-0.126017,-9.45232e-005,-0.00362745,0,0.074245,-0.103634,0.0282997
0.293272,0,0,0,-0.126018,-7.95561e-005,-0.00230257,0,0.0719511,-0.0799284,0.0361297
0.304395,0,0,0,-0.126019,-6.30027e-005,-0.00376332,0,0.0414067,-0.0724551,0.0517898
0.315272,0,0,0,-0.12602,-7.04987e-005,-0.00590861,0,0.062534,-0.0853395,0.0674498
0.326144,0,0,0,-0.126021,-5.5939e-005,-0.0137053,0,-0.0115341,-0.0903629,0.1066
0.337338,0,0,0,-0.126021,-4.48788e-005,0.000690827,0,0.0162055,-0.0431436,0.0517898
0.348101,0,0,0,-0.126021,-3.77311e-005,0.00148711,0,0.0103504,-0.0339959,0.0204697
0.35857,0,0,0,-0.126022,-1.36481e-005,-0.0110766,0,0.0408945,-0.0414695,0.0517898
0.369025,0,0,0,-0.126022,-4.31141e-006,-0.00312391,0,0.0156934,-0.0121578,-0.0108504
0.380169,0,0,0,-0.126022,-3.47068e-006,0.000106116,0,0.0421639,-0.00320414,-0.0265104
0.390948,0,0,0,-0.126022,-2.48535e-005,-0.013001,0,-0.0196826,-0.0575084,-0.00302037
0.401446,0,0,0,-0.126022,-2.45764e-005,0.00153411,0,-0.0754279,-0.0207232,0.00480965
0.412398,0,0,0,-0.126023,-1.56889e-005,0.0144863,0,0.00754571,0.0206966,-0.0108504
0.423358,0,0,0,-0.126023,-2.18363e-005,0.00890584,0,0.0268918,0.000532624,-0.0500005
0.433921,0,0,0,-0.126023,-2.4096e-005,0.00185482,0,0.0139123,-0.0194372,-0.0343404
0.445133,0,0,0,-0.126023,-1.09684e-005,-0.00344573,0,0.0215484,-0.0213056,-0.0500005
0.456069,0,0,0,-0.126023,-8.47769e-006,0.0123591,0,-9.03735e-005,0.022565,0.0126397
0.466447,0,0,0,-0.126024,-1.01344e-007,-0.00472279,0,-0.016632,-0.0119637,-0.0186804
0.477379,0,0,0,-0.126024,-5.32322e-006,-0.000409808,0,-0.00721481,-0.00655264,-0.0891506
0.48829,0,0,0,-0.126024,-7.61476e-006,-0.00462962,0,-0.0184131,-0.0192431,-0.0265104
0.499466,0,0,0,-0.126024,-8.31899e-006,-0.00301609,0,0.0309656,-0.0158946,-0.00302037
0.510836,0,0,0,-0.126024,-7.29809e-007,-0.0110128,0,-0.0125581,-0.0283908,-0.0265104
0.521889,0,0,0,-0.126024,-1.52132e-005,-0.00234825,0,-0.0107772,-0.0211113,-0.0186804
0.533302,0,0,0,-0.126024,-1.79335e-005,-0.0142683,0,-0.0349552,-0.0537714,-0.0343404
0.544127,0,0,0,-0.126024,-3.13043e-005,-0.00255946,0,0.025622,-0.037733,-0.0500005
