DiscreteTask,32
TrialNumber,32,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,3267,N/A
MotionDuration,1.09171,(s)
targetTime,1.2,(s)
MaxResidAngle,6.11557,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.000992098,0,0,0,-0.124408,-0.000118434,-0.0132881,0,-0.0762711,-0.0952722,-0.231295
0.0123614,0,0,0,-0.124409,-0.000115893,-0.00698687,0,-0.109754,-0.133442,-0.176485
0.0234386,0,0,0,-0.12441,-8.38522e-005,0.00137182,0,-0.16973,-0.0804065,0.00360533
0.0346136,0,0,0,-0.124411,-0.000108914,-0.00454285,0,-0.227897,-0.120324,0.00360533
0.0459562,0,0,0,-0.124413,-0.000116315,-0.00441806,0,-0.294308,-0.127412,-0.00422469
0.056881,0,0,0,-0.124414,-0.000108201,0.00693145,0,-0.350162,-0.0907913,-0.106015
0.0845309,0,0,0,-0.124416,-9.05495e-005,-0.00307405,0,-0.287271,-0.0982707,-0.106015
0.0960239,0,0,0,-0.124417,-0.000116535,-0.00951288,0,-0.208493,-0.140429,-0.0668649
0.107561,0,0,0,-0.124418,-0.000123286,-0.00392438,0,-0.206734,-0.133143,-0.0981849
0.118644,0,0,0,-0.12442,-0.000100622,0.0356612,0,-0.201503,-0.0110513,-0.176485
0.129011,0,0,0,-0.124421,-0.000129857,0.0132335,0,-0.230262,-0.0966186,-0.184315
0.139821,0,0,0,-0.124422,-0.000125164,-0.0102485,0,-0.356601,-0.150905,-0.145165
0.150582,0,0,0,-0.124424,-9.06563e-005,-0.00078399,0,-0.342524,-0.0926255,-0.0590348
0.162016,0,0,0,-0.124424,-7.51893e-005,-0.0113915,0,-0.264349,-0.103802,0.0270954
0.172437,0,0,0,-0.124425,-0.000106361,0.00322402,0,-0.287273,-0.0982634,0.105396
0.183331,0,0,0,-0.124426,-0.000118721,0.0124762,0,-0.268471,-0.0873841,0.0975656
0.194376,0,0,0,-0.124428,-9.56311e-005,-0.00545704,0,-0.241425,-0.109338,0.0740755
0.204829,0,0,0,-0.124429,-9.64928e-005,0.00934735,0,-0.2003,-0.0730148,0.0192654
0.215923,0,0,0,-0.12443,-7.37045e-005,0.00963069,0,-0.13801,-0.0495149,-0.0355448
0.226305,0,0,0,-0.12443,-7.87066e-005,0.0123577,0,-0.145652,-0.0476676,0.00360533
0.236831,0,0,0,-0.124431,2.45595e-006,0.00688116,0,-0.137454,0.0197395,-0.0433748
0.247516,0,0,0,-0.124431,3.85871e-005,0.00123671,0,-0.1645,0.0416933,0.00360533
0.25824,0,0,0,-0.12443,7.31736e-005,0.0144706,0,-0.219193,0.116585,-0.0198847
0.26857,0,0,0,-0.124429,0.000108654,0.00613777,0,-0.282085,0.12407,0.00360533
0.2794,0,0,0,-0.124428,9.028e-005,-0.0156289,0,-0.235033,0.0510245,-0.0433748
0.289777,0,0,0,-0.124427,8.78785e-005,-0.00450209,0,-0.245036,0.0765705,-0.0825249
0.300551,0,0,0,-0.124426,6.89357e-005,0.00516428,0,-0.203309,0.0819069,-0.0512048
0.31156,0,0,0,-0.124426,1.57541e-005,-0.0151199,0,-0.123329,-0.0222228,0.0192654
0.322827,0,0,0,-0.124425,4.42113e-006,0.0112035,0,-0.158618,0.0325613,0.0740755
0.333945,0,0,0,-0.124425,1.36739e-005,-0.00841166,0,-0.184461,-0.00745383,0.0975656
0.344756,0,0,0,-0.124425,1.47266e-005,0.00215449,0,-0.266757,0.0201381,0.0270954
0.355358,0,0,0,-0.124425,3.16127e-006,0.0017334,0,-0.310245,0.00751507,0.0349254
0.365997,0,0,0,-0.124425,1.06753e-006,-0.0104641,0,-0.334327,-0.0252155,0.0349254
0.376878,0,0,0,-0.124425,2.02074e-005,-0.0102513,0,-0.363133,-0.0105464,-0.00422469
0.388004,0,0,0,-0.124425,2.03012e-005,-0.00443515,0,-0.253234,0.0091613,0.0584155
0.399411,0,0,0,-0.124425,1.74798e-005,0.00971925,0,-0.229152,0.0418918,0.0897355
0.410401,0,0,0,-0.124424,4.38171e-006,-0.00536755,0,-0.241471,-0.00910006,0.128886
0.42083,0,0,0,-0.124424,8.90808e-007,-0.0112482,0,-0.229708,-0.0273614,0.105396
0.431715,0,0,0,-0.124424,3.53883e-006,0.000728692,0,-0.205625,0.0053691,0.113226
0.442466,0,0,0,-0.124424,2.49281e-005,0.00454951,0,-0.206227,0.0363552,0.0662455
0.453612,0,0,0,-0.124424,5.54512e-005,0.015678,0,-0.2568,0.0948298,0.0505854
0.464113,0,0,0,-0.124423,7.75801e-005,-0.00910345,0,-0.250316,0.0547148,0.144546
0.47544,0,0,0,-0.124422,0.000108513,-0.0062622,0,-0.184507,0.0927838,0.144546
0.485924,0,0,0,-0.124421,0.000111219,-0.0117098,0,-0.170984,0.081807,0.168036
0.496768,0,0,0,-0.12442,0.000122421,0.00486698,0,-0.166306,0.134645,0.191526
0.507941,0,0,0,-0.124418,0.000110752,0.00881736,0,-0.19099,0.132899,0.0975656
0.519213,0,0,0,-0.124417,0.000136863,0.00271255,0,-0.139862,0.143676,0.0897355
0.529547,0,0,0,-0.124415,0.000152698,0.00143356,0,-0.0963744,0.156299,0.0975656
0.540385,0,0,0,-0.124414,0.000146378,-0.00622137,0,-0.0863722,0.130752,0.0114353
0.550833,0,0,0,-0.124412,0.000165553,0.000725059,0,-0.142225,0.167374,0.175866
0.561984,0,0,0,-0.12441,0.000205464,0.00738486,0,-0.139307,0.212928,0.238506
0.573241,0,0,0,-0.124407,0.000307793,0.0139267,0,-0.109345,0.236527,0.222846
0.584028,0,0,0,-0.124403,0.000426401,0.0177109,0,-0.138154,0.251194,0.152376
0.594977,0,0,0,-0.124398,0.000555557,0.025877,0,-0.115834,0.27664,0.113226
0.605974,0,0,0,-0.12439,0.000789765,0.0177636,0,-0.145802,0.253037,0.0270954
0.617066,0,0,0,-0.124381,0.00101432,0.0176614,0,-0.11348,0.252936,0.0975656
0.628062,0,0,0,-0.124368,0.00113034,0.00913588,0,-0.103481,0.227389,0.0114353
0.638905,0,0,0,-0.124357,0.00108118,-0.00358346,0,-0.136966,0.189213,0.0270954
0.649398,0,0,0,-0.124346,0.000928118,-0.0180607,0,-0.179849,0.145597,0.0740755
0.660494,0,0,0,-0.124337,0.00072219,-0.0398264,0,-0.228006,0.080126,0.0897355
0.671465,0,0,0,-0.12433,0.000498973,-0.0213905,0,-0.263306,0.1349,0.0584155
0.681974,0,0,0,-0.124326,0.000311187,-0.0211771,0,-0.230982,0.134804,0.0740755
