DiscreteTask,32
TrialNumber,14,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,1485,N/A
MotionDuration,1.06105,(s)
targetTime,1.2,(s)
MaxResidAngle,5.78117,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.000909613,0,0,0,-0.126059,1.18863e-006,0.00831878,0,-0.00688788,-0.083861,0.0285865
0.0116975,0,0,0,-0.12606,-0.00013549,-0.0076818,0,-0.0323418,-0.154784,-0.0105636
0.0228089,0,0,0,-0.126061,-0.000165086,-0.0023606,0,-0.0605947,-0.171015,-0.0418837
0.0339705,0,0,0,-0.126063,-0.000153646,0.00236657,0,0.00176538,-0.147702,0.0520765
0.0451743,0,0,0,-0.126065,-0.000167469,-0.0144926,0,-0.0524498,-0.20387,0.0912266
0.0571091,0,0,0,-0.126067,-0.000170399,0.00464997,0,0.0152555,-0.158719,0.0990566
0.0677335,0,0,0,-0.126069,-0.000132904,-0.00456046,0,0.0511432,-0.144358,-0.00273363
0.0786406,0,0,0,-0.12607,-0.000142819,0.00236387,0,0.0205995,-0.136882,0.0129264
0.0899024,0,0,0,-0.126072,-0.000136524,-0.00378467,0,0.0264537,-0.14603,0.00509639
0.100775,0,0,0,-0.126073,-0.000122431,0.00509473,0,0.0353617,-0.109634,-0.0340537
0.112185,0,0,0,-0.126074,-0.000139912,-0.00235734,0,-0.00587302,-0.145833,-0.0418837
0.140494,0,0,0,-0.126079,-0.000149858,-0.00568216,0,0.0058323,-0.16413,0.0285865
0.152139,0,0,0,-0.126081,-0.000155601,0.0163045,0,-0.0387089,-0.114649,-0.0105636
0.163106,0,0,0,-0.126082,-0.00014436,0.0147274,0,-0.0369278,-0.107369,0.0833966
0.173618,0,0,0,-0.126084,-0.000108782,-0.000339675,0,0.0353589,-0.109635,0.0285865
0.184415,0,0,0,-0.126085,-0.000120298,-0.0138086,0,-2.29061e-005,-0.154981,-0.0183937
0.195631,0,0,0,-0.126086,-7.84243e-005,0.00860475,0,0.0401973,-0.0568115,-0.0183937
0.20713,0,0,0,-0.126087,-2.329e-005,-0.00598243,0,-0.00383611,-0.0383162,-0.0105636
0.218132,0,0,0,-0.126087,-2.73433e-005,-0.000726347,0,-0.00968985,-0.0291676,-0.0105636
0.231104,0,0,0,-0.126087,-3.21746e-005,0.000373845,0,0.0302714,-0.0312356,-0.0183937
0.241527,0,0,0,-0.126088,-3.19893e-005,0.0169443,0,0.0485998,0.01057,0.0364165
0.253173,0,0,0,-0.126088,-5.71958e-005,0.00230666,0,0.0496147,-0.0514021,-0.0262237
0.264338,0,0,0,-0.126089,-7.77918e-005,-0.00472805,0,0.0483401,-0.0896673,0.0207564
0.274732,0,0,0,-0.12609,-7.05987e-005,-0.00179572,0,0.0519043,-0.075109,-0.0105636
0.286107,0,0,0,-0.126091,-8.37999e-005,0.00776773,0,0.0707401,-0.0642895,0.0285865
0.29643,0,0,0,-0.126092,-8.83642e-005,0.00602161,0,0.0442684,-0.0732396,-0.00273363
0.308108,0,0,0,-0.126093,-6.50932e-005,-0.00481125,0,0.0918649,-0.0771777,0.0285865
0.319136,0,0,0,-0.126093,-4.79749e-005,0.000789099,0,0.0590323,-0.0459929,0.0207564
0.329559,0,0,0,-0.126094,-4.06219e-005,0.0100399,0,0.123176,-0.0154044,0.00509639
0.339904,0,0,0,-0.126094,-1.5296e-005,0.00939536,0,0.120887,0.00830248,0.0129264
