DiscreteTask,32
TrialNumber,47,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,4751,N/A
MotionDuration,4.06215,(s)
targetTime,1.2,(s)
MaxResidAngle,12.9614,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00101912,0,0,0,-0.126048,5.81112e-005,-0.00169294,0,0.208829,-0.0494833,0.0139205
0.0128916,0,0,0,-0.126048,-3.83055e-005,-0.00437234,0,0.176503,-0.0492876,0.0843906
0.0240376,0,0,0,-0.126048,-6.14988e-005,0.00478377,0,0.208829,-0.0494833,-0.0173996
0.0347226,0,0,0,-0.126049,-9.08886e-005,0.00266022,0,0.224611,-0.0842069,0.0765606
0.0451624,0,0,0,-0.12605,-0.000128217,-0.00766133,0,0.13629,-0.14746,0.115711
0.0562145,0,0,0,-0.126052,-0.000131296,-0.00420366,0,0.113382,-0.141854,0.154861
0.0672121,0,0,0,-0.126053,-0.000121865,0.00594421,0,0.0652749,-0.106935,0.0374105
0.0782381,0,0,0,-0.126055,-0.000103929,-0.00691498,0,0.0293865,-0.121298,0.0687306
0.0891768,0,0,0,-0.126056,-9.05451e-005,0.00729919,0,0.0494922,-0.0722116,0.107881
0.128261,0,0,0,-0.126058,-5.71801e-005,-0.0111151,0,0.0706179,-0.085098,0.0687306
0.138788,0,0,0,-0.126058,-7.90999e-005,-0.0031321,0,0.0782539,-0.0869669,0.0217505
0.150142,0,0,0,-0.126059,-7.64386e-005,-0.00344757,0,0.0706179,-0.085098,0.0452405
