DiscreteTask,32
TrialNumber,24,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,2473,N/A
MotionDuration,1.59063,(s)
targetTime,1.5,(s)
MaxResidAngle,3.23948,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00116845,0,0,0,-0.119907,0.0052012,0.0004655,0,2.2022,0.836398,-0.297583
0.0124883,0,0,0,-0.119833,0.00743035,0.187928,0,2.18512,0.763702,-0.242773
0.0233169,0,0,0,-0.119739,0.00916774,0.122873,0,2.09921,0.568577,-0.156642
0.0336673,0,0,0,-0.119638,0.0103233,0.0999209,0,2.09917,0.49973,-0.133152
0.0453492,0,0,0,-0.119517,0.0111111,0.0489759,0,2.0635,0.346901,-0.0548522
0.056039,0,0,0,-0.119389,0.0116149,0.0174323,0,2.00911,0.252276,-0.00787208
0.0673517,0,0,0,-0.119263,0.0118899,0.0215135,0,1.85846,0.264522,0.015618
0.0783644,0,0,0,-0.119127,0.012281,0.0471115,0,1.82763,0.341315,-0.0313621
0.0893585,0,0,0,-0.118985,0.0131219,0.100661,0,1.79998,0.501968,0.0625981
0.0999946,0,0,0,-0.118838,0.0142559,0.0992151,0,1.88747,0.497631,0.0469381
0.110901,0,0,0,-0.118678,0.0155209,0.117116,0,1.92376,0.551338,-0.0470222
0.122342,0,0,0,-0.118504,0.0166524,0.0719964,0,2.01331,0.415981,-0.140982
0.133344,0,0,0,-0.118302,0.0177011,0.0763086,0,2.16113,0.428918,-0.227113
0.145357,0,0,0,-0.1181,0.0182278,0.031659,0,2.1785,0.29497,-0.180133
0.157112,0,0,0,-0.117885,0.0183573,-0.0142161,0,2.17895,0.157346,-0.164472
0.167873,0,0,0,-0.117672,0.0178052,-0.0627365,0,2.11321,0.011783,-0.0861723
0.178968,0,0,0,-0.117486,0.0169959,-0.089854,0,2.10255,-0.0695685,-0.117492
0.189455,0,0,0,-0.117309,0.0159721,-0.0905557,0,2.01326,-0.0716756,-0.0783423
0.200509,0,0,0,-0.117135,0.0149753,-0.068422,0,2.02823,-0.00527473,0.023448
0.211179,0,0,0,-0.116987,0.0141023,-0.0770382,0,1.94162,-0.031123,0.015618
0.238347,0,0,0,-0.116649,0.0113546,-0.128173,0,1.80992,-0.184537,0.101748
0.249446,0,0,0,-0.11652,0.0097933,-0.130847,0,1.71134,-0.192559,0.0939182
0.260344,0,0,0,-0.116424,0.00816076,-0.166787,0,1.8159,-0.30038,0.023448
0.271378,0,0,0,-0.116347,0.00611196,-0.202542,0,1.81585,-0.407654,-0.0157021
0.282116,0,0,0,-0.116293,0.00369512,-0.221833,0,1.83502,-0.465563,0.0469381
0.292595,0,0,0,-0.116267,0.00141144,-0.217239,0,1.98297,-0.452746,0.101748
0.303351,0,0,0,-0.116264,-0.000418904,-0.0846755,0,1.99394,-0.439838,0.227029
0.314201,0,0,0,-0.116273,-0.00121664,-0.0596604,0,2.03178,-0.379251,0.250519
0.325046,0,0,0,-0.116291,-0.00206146,-0.0765989,0,2.04489,-0.428338,0.352309
0.336354,0,0,0,-0.116318,-0.0028789,-0.0854279,0,2.06292,-0.455564,0.344479
0.346718,0,0,0,-0.116354,-0.00379131,-0.0859429,0,2.07056,-0.457452,0.375799
0.3578,0,0,0,-0.116403,-0.00502655,-0.122943,0,2.08574,-0.568645,0.274009
0.36862,0,0,0,-0.116465,-0.00644095,-0.14456,0,2.16778,-0.633543,0.336649
0.379335,0,0,0,-0.116544,-0.008133,-0.15998,0,2.13312,-0.679821,0.407119
0.390047,0,0,0,-0.116641,-0.00998711,-0.176914,0,2.18606,-0.730647,0.63419
