DiscreteTask,32
TrialNumber,0,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,99,N/A
MotionDuration,1.37252,(s)
targetTime,1.2,(s)
MaxResidAngle,9.65808,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.000897368,0,0,0,-0.125359,-0.000220256,-0.0171391,0,0.146956,-0.252585,-0.783186
0.0127582,0,0,0,-0.125363,-0.000529333,-0.0418149,0,0.188019,-0.316569,-0.783186
0.0247251,0,0,0,-0.125374,-0.00108418,-0.0609079,0,0.164432,-0.380244,-0.775355
0.0351804,0,0,0,-0.125388,-0.00165651,-0.0598923,0,0.189112,-0.378543,-0.830166
0.0456105,0,0,0,-0.125408,-0.0022477,-0.0519485,0,0.250202,-0.393427,-0.798846
0.056171,0,0,0,-0.125436,-0.00284901,-0.0477009,0,0.294916,-0.34263,-0.853656
0.0671794,0,0,0,-0.125471,-0.00340091,-0.0363027,0,0.408375,-0.308586,-0.877146
0.0776672,0,0,0,-0.125508,-0.00380604,-0.0449508,0,0.482954,-0.334512,-0.845826
0.0881153,0,0,0,-0.125549,-0.0040554,-0.0109259,0,0.478996,-0.217892,-0.939786
0.0984868,0,0,0,-0.125592,-0.00407202,0.00416845,0,0.510769,-0.187111,-1.03375
0.108982,0,0,0,-0.125633,-0.00397185,0.0175464,0,0.50436,-0.147017,-1.01809
0.119383,0,0,0,-0.125675,-0.00370982,0.0369055,0,0.550885,-0.0889885,-0.939786
0.130119,0,0,0,-0.125711,-0.003308,0.0515496,0,0.496889,-0.0449923,-0.869316
0.140713,0,0,0,-0.125744,-0.00279083,0.0485374,0,0.470421,-0.0539851,-0.900636
