DiscreteTask,32
TrialNumber,32,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,3264,N/A
MotionDuration,1.29708,(s)
targetTime,1.4,(s)
MaxResidAngle,3.6792,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.0012913,0,0,0,-0.123736,0.000263973,-0.00150282,0,1.51189,0.208893,-0.254174
0.012141,0,0,0,-0.123731,0.000579187,0.0195996,0,1.47607,0.194376,-0.230684
0.0227798,0,0,0,-0.123724,0.000777973,0.00900545,0,1.52194,0.183377,-0.262004
0.0337886,0,0,0,-0.123715,0.000883934,0.0346454,0,1.5582,0.267174,-0.262004
0.0444685,0,0,0,-0.123705,0.00089305,0.005535,0,1.5619,0.181552,-0.301154
0.0557878,0,0,0,-0.123696,0.00084932,0.012943,0,1.57479,0.201608,-0.348134
0.0667885,0,0,0,-0.123686,0.000807054,0.00572456,0,1.57719,0.177939,-0.340304
0.0778131,0,0,0,-0.123678,0.00079257,-0.00584584,0,1.52848,0.143402,-0.371624
0.0888531,0,0,0,-0.123669,0.000782131,-0.0132647,0,1.49855,0.119775,-0.418604
0.0998508,0,0,0,-0.12366,0.000802103,0.012347,0,1.50073,0.196342,-0.387284
0.110806,0,0,0,-0.123651,0.000843505,0.0094735,0,1.49134,0.190899,-0.379454
0.12125,0,0,0,-0.123642,0.000837095,0.0179702,0,1.51361,0.216411,-0.473414
0.132813,0,0,0,-0.123632,0.000861037,0.00632915,0,1.48958,0.183662,-0.410774
0.143796,0,0,0,-0.123624,0.000778783,0.000438578,0,1.49199,0.159979,-0.512564
