DiscreteTask,32
TrialNumber,34,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,3465,N/A
MotionDuration,1.43181,(s)
targetTime,1.4,(s)
MaxResidAngle,14.4063,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00102611,0,0,0,-0.125153,-0.000119927,-0.0109296,0,1.09817,-0.165467,0.033637
0.0115588,0,0,0,-0.125155,-0.000185556,-0.000699709,0,1.09286,-0.187314,0.0727871
0.022181,0,0,0,-0.125157,-0.000241646,-0.013109,0,1.13926,-0.229433,-0.0524932
0.0327236,0,0,0,-0.12516,-0.000348661,-0.00350556,0,1.1046,-0.205599,-0.0368332
0.0432875,0,0,0,-0.125164,-0.000411458,-0.00555814,0,1.13516,-0.213022,0.00231689
0.0542668,0,0,0,-0.125169,-0.000403584,0.0105238,0,1.15518,-0.163902,-0.0290032
0.0653316,0,0,0,-0.125173,-0.000308124,0.0245252,0,1.13347,-0.120086,-0.0211732
0.0763344,0,0,0,-0.125175,-0.000145509,0.024558,0,1.17464,-0.0838261,-0.0524932
0.0872889,0,0,0,-0.125176,-0.000112062,0.00476049,0,1.14641,-0.100105,-0.0446632
0.0983349,0,0,0,-0.125177,-9.95462e-005,0.00477683,0,1.18992,-0.0875481,-0.122963
0.109334,0,0,0,-0.125178,-8.01006e-005,0.00203811,0,1.23342,-0.0749814,-0.0759833
0.119871,0,0,0,-0.125179,-9.23869e-005,-0.00535004,0,1.20166,-0.105825,-0.0368332
0.131271,0,0,0,-0.12518,-7.66927e-005,0.0195551,0,1.22876,-0.0275758,-0.107303
0.142338,0,0,0,-0.125181,-0.000104558,-0.00124729,0,1.20929,-0.107691,-0.0759833
0.153335,0,0,0,-0.125182,-0.000102499,0.00378823,0,1.18051,-0.0929844,-0.0603233
0.164345,0,0,0,-0.125183,-0.000102692,-0.011427,0,1.21163,-0.131394,-0.0446632
0.175337,0,0,0,-0.125185,-0.000133525,0.00158765,0,1.20399,-0.129538,-0.0603233
0.186033,0,0,0,-0.125186,-0.000145925,0.0144793,0,1.21693,-0.109557,-0.0759833
0.197337,0,0,0,-0.125188,-0.000144808,0.00903142,0,1.17343,-0.122123,-0.0916433
0.208337,0,0,0,-0.125189,-0.000142598,-0.00208107,0,1.21572,-0.147825,-0.0994734
0.219332,0,0,0,-0.125191,-0.000144013,0.00786261,0,1.24572,-0.124264,-0.0838133
0.230276,0,0,0,-0.125192,-0.000116165,0.0229217,0,1.22932,-0.0585921,-0.115133
0.241279,0,0,0,-0.125194,-0.000113327,0.0109338,0,1.2146,-0.0858648,-0.0916433
0.252343,0,0,0,-0.125195,-0.000105375,0.0106101,0,1.2487,-0.0787252,-0.0916433
0.263301,0,0,0,-0.125196,-0.000108719,-0.000455901,0,1.28158,-0.109864,-0.0368332
0.274275,0,0,0,-0.125197,-9.21935e-005,-0.0033399,0,1.24339,-0.100582,-0.107303
0.2853,0,0,0,-0.125198,-0.000100695,-0.0021153,0,1.23398,-0.106008,-0.169944
0.296299,0,0,0,-0.125199,-8.1026e-005,0.00528919,0,1.23519,-0.067741,-0.115133
0.308315,0,0,0,-0.1252,-8.88654e-005,-0.00386898,0,1.20342,-0.0985832,-0.138623
0.319349,0,0,0,-0.125202,-0.000103032,-0.00556661,0,1.24749,-0.117014,-0.146453
0.330349,0,0,0,-0.125203,-0.000113166,-0.00659154,0,1.23631,-0.129722,-0.162114
0.34135,0,0,0,-0.125204,-0.000117429,-0.00193774,0,1.20575,-0.122296,-0.115133
0.352364,0,0,0,-0.125205,-0.000127855,-6.13184e-005,0,1.26099,-0.128009,-0.162114
0.363279,0,0,0,-0.125206,-0.000107285,0.0048247,0,1.2528,-0.0951671,-0.0759833
0.374341,0,0,0,-0.125207,-8.94206e-005,0.00634859,0,1.29043,-0.0734747,-0.0446632
0.385286,0,0,0,-0.125209,-0.000118284,0.000444542,0,1.27981,-0.117168,-0.130793
0.39628,0,0,0,-0.12521,-0.0001242,-0.0109003,0,1.231,-0.151579,-0.185604
0.408304,0,0,0,-0.125212,-0.000139729,-0.0184751,0,1.21451,-0.186133,-0.185604
0.419303,0,0,0,-0.125213,-0.000141261,0.00384677,0,1.24394,-0.131599,-0.115133
0.430281,0,0,0,-0.125215,-0.000135482,6.75841e-005,0,1.25922,-0.135312,-0.185604
0.441331,0,0,0,-0.125216,-0.000136037,0.00472329,0,1.21339,-0.124173,-0.130793
0.452285,0,0,0,-0.125218,-0.000146922,0.00109411,0,1.20044,-0.144173,-0.224754
0.463283,0,0,0,-0.125219,-0.000139349,-0.00482005,0,1.19867,-0.151456,-0.193434
0.474302,0,0,0,-0.125221,-0.000146278,0.00873922,0,1.24571,-0.124328,-0.169944
0.485303,0,0,0,-0.125222,-0.00015309,0.000593178,0,1.231,-0.1516,-0.193434
0.496345,0,0,0,-0.125224,-0.00016366,0.00843598,0,1.22512,-0.142471,-0.177774
0.508346,0,0,0,-0.125226,-0.000149783,0.00870951,0,1.22866,-0.127907,-0.169944
0.5189,0,0,0,-0.125227,-0.000151959,-0.00122868,0,1.18162,-0.155045,-0.130793
0.530348,0,0,0,-0.125229,-0.000134102,0.00905764,0,1.19224,-0.111352,-0.169944
0.541283,0,0,0,-0.125231,-0.00014713,-0.00315109,0,1.18162,-0.155045,-0.169944
0.552306,0,0,0,-0.125232,-0.000142895,0.0103405,0,1.21516,-0.116922,-0.240414
0.563307,0,0,0,-0.125234,-0.000145243,-0.00760244,0,1.21981,-0.164338,-0.256074
0.575345,0,0,0,-0.125235,-0.000151177,-0.00745762,0,1.24273,-0.169909,-0.263904
0.586289,0,0,0,-0.125237,-0.000124931,0.00164857,0,1.26276,-0.120791,-0.350034
0.597345,0,0,0,-0.125238,-0.0001029,0.0045854,0,1.20519,-0.0913827,-0.303054
0.608353,0,0,0,-0.125239,-0.000108934,0.0222231,0,1.2064,-0.0531154,-0.263904
0.619285,0,0,0,-0.125241,-0.000138483,0.00561904,0,1.24571,-0.12437,-0.263904
0.630293,0,0,0,-0.125242,-0.000173959,-0.00845219,0,1.18804,-0.195189,-0.224754
0.64131,0,0,0,-0.125245,-0.000180034,0.00271806,0,1.16103,-0.173207,-0.303054
0.652349,0,0,0,-0.125247,-0.000284943,-0.0149535,0,1.12041,-0.240457,-0.357864
0.663293,0,0,0,-0.125251,-0.000452398,-0.0232198,0,1.07336,-0.267592,-0.263904
0.675353,0,0,0,-0.125258,-0.000706051,-0.0327054,0,1.0986,-0.296885,-0.342204
0.686355,0,0,0,-0.125267,-0.000942426,-0.0330656,0,1.10624,-0.298761,-0.303054
0.697351,0,0,0,-0.125279,-0.00117308,-0.0123939,0,1.13744,-0.236956,-0.271734
0.708365,0,0,0,-0.125293,-0.00139384,-0.0160185,0,1.11862,-0.247834,-0.271734
0.719353,0,0,0,-0.125309,-0.00158379,-0.00635097,0,1.15802,-0.218894,-0.303054
0.730322,0,0,0,-0.125327,-0.00168833,0.0129339,0,1.18735,-0.264632,-0.303054
0.741316,0,0,0,-0.125347,-0.00173996,0.00209635,0,1.18037,-0.193562,-0.303054
0.752363,0,0,0,-0.125366,-0.00167769,0.0318862,0,1.16166,-0.104211,-0.279564
0.763365,0,0,0,-0.125384,-0.00159444,0.026345,0,1.19807,-0.120826,-0.201264
0.775349,0,0,0,-0.125401,-0.00139148,0.00632812,0,1.1592,-0.180823,-0.263904
0.786372,0,0,0,-0.125416,-0.00120105,0.0183773,0,1.16806,-0.144445,-0.318714
0.797354,0,0,0,-0.125428,-0.00105619,0.00669237,0,1.18566,-0.171897,-0.342204
0.808307,0,0,0,-0.125439,-0.000911008,0.0180828,0,1.20038,-0.144651,-0.397014
0.819366,0,0,0,-0.125448,-0.000853361,0.00525156,0,1.23325,-0.175814,-0.357864
0.830315,0,0,0,-0.125458,-0.000841918,-0.000721454,0,1.24321,-0.201399,-0.279564
0.841315,0,0,0,-0.125467,-0.000810892,0.0127836,0,1.20447,-0.161135,-0.318714
0.852367,0,0,0,-0.125476,-0.000802296,0.00854283,0,1.19328,-0.173858,-0.326544
0.863356,0,0,0,-0.125484,-0.000768229,-0.00251049,0,1.16914,-0.206554,-0.365694
0.875363,0,0,0,-0.125493,-0.000681618,-0.0103489,0,1.13912,-0.230128,-0.365694
0.886362,0,0,0,-0.125501,-0.000659869,0.00356008,0,1.1574,-0.188311,-0.334374
0.897322,0,0,0,-0.125508,-0.000621967,0.00414595,0,1.18208,-0.186631,-0.357864
0.909358,0,0,0,-0.125514,-0.000513382,0.0161599,0,1.19095,-0.150235,-0.342204
0.920355,0,0,0,-0.125519,-0.000350613,0.0222583,0,1.20391,-0.130262,-0.397014
