DiscreteTask,32
TrialNumber,5,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,594,N/A
MotionDuration,1.32522,(s)
targetTime,1.5,(s)
MaxResidAngle,8.99963,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.000935863,0,0,0,-0.126569,9.68437e-005,0.00173182,0,-0.0256549,-0.0533408,-0.0155377
0.0116859,0,0,0,-0.126569,-5.82577e-005,-0.0103792,0,-0.0251747,-0.0843273,0.000122344
0.0222593,0,0,0,-0.126569,-4.40619e-005,0.00416079,0,0.0196701,-0.0336112,-0.00770768
0.033789,0,0,0,-0.12657,-5.7704e-005,-0.00471437,0,-0.0539229,-0.0695451,-0.00770768
0.0444347,0,0,0,-0.12657,-6.62755e-005,-0.015042,0,-0.0704997,-0.104057,-0.00770768
0.0548908,0,0,0,-0.126571,-4.80366e-005,0.00433969,0,0.0026132,-0.0371365,-0.00770768
0.0654146,0,0,0,-0.126572,-6.37057e-005,0.00057256,0,-0.0521344,-0.0622676,0.00795236
0.0761009,0,0,0,-0.126572,-5.70012e-005,-0.00499415,0,-0.0472491,-0.00944833,-0.0311977
0.086519,0,0,0,-0.126573,-5.17198e-005,0.00440258,0,-0.0144437,-0.0406618,0.0236124
0.0972104,0,0,0,-0.126573,-5.84446e-005,0.00128503,0,-0.0180207,-0.055217,-0.0311977
0.107561,0,0,0,-0.126574,-4.94195e-005,-0.00726574,0,-0.0615571,-0.067669,0.000122344
0.118236,0,0,0,-0.126574,-5.52371e-005,0.0043994,0,-0.0315005,-0.0441871,-0.0233677
