DiscreteTask,32
TrialNumber,1,N/A
Success,1,(bool)
TrialScore,98,N/A
TotalScoreSinceBlockBegan,197,N/A
MotionDuration,2.28588,(s)
targetTime,1.5,(s)
MaxResidAngle,31.0176,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00111679,0,0,0,-0.126817,2.35998e-005,0.00385577,0,-0.115456,-0.147885,-0.204051
0.0116833,0,0,0,-0.126818,-0.000143999,-0.00434808,0,-0.149573,-0.15492,-0.258861
0.0223033,0,0,0,-0.12682,-0.000174153,-0.000382009,0,-0.130256,-0.175113,-0.235371
0.034458,0,0,0,-0.126822,-0.000165159,-0.000317492,0,-0.136098,-0.165956,-0.258861
0.0455185,0,0,0,-0.126824,-0.000172025,-0.00562315,0,-0.116782,-0.186149,-0.180561
0.056526,0,0,0,-0.126826,-0.000176896,-0.00293523,0,-0.124417,-0.184268,-0.117921
0.0674557,0,0,0,-0.126828,-0.000190463,-0.00557301,0,-0.1051,-0.204461,-0.180561
0.0784799,0,0,0,-0.12683,-0.000171852,-0.00204624,0,-0.122625,-0.176991,-0.164901
0.089481,0,0,0,-0.126832,-0.000191777,9.29429e-005,0,-0.12621,-0.191544,-0.180561
0.100457,0,0,0,-0.126833,-0.000167704,-0.0102399,0,-0.118577,-0.193424,-0.251031
0.111035,0,0,0,-0.126835,-0.000151271,0.00919559,0,-0.0701251,-0.128175,-0.196221
0.121716,0,0,0,-0.126837,-0.000159865,-0.00915945,0,-0.0750375,-0.180991,-0.219711
0.132521,0,0,0,-0.126838,-0.000139265,0.00161508,0,-0.104243,-0.135208,-0.235371
0.143528,0,0,0,-0.12684,-0.000149198,0.00911895,0,-0.0777595,-0.126294,-0.180561
0.154126,0,0,0,-0.126842,-0.000139507,-0.00632769,0,-0.0849291,-0.1554,-0.172731
0.16467,0,0,0,-0.126843,-0.000137572,-0.0143892,0,-0.0732469,-0.173714,-0.172731
0.175482,0,0,0,-0.126844,-0.0001265,-0.0130029,0,-0.069664,-0.15916,-0.204051
