DiscreteTask,32
TrialNumber,45,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,4554,N/A
MotionDuration,1.08636,(s)
targetTime,1.2,(s)
MaxResidAngle,14.8163,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.000990201,0,0,0,-0.142714,-0.000800154,-0.0341887,0,-0.76975,-2.05988,-3.38765
0.0117768,0,0,0,-0.142758,-0.00754249,-0.620214,0,-0.712856,-2.06008,-3.45029
0.0223909,0,0,0,-0.142879,-0.0139173,-0.550077,0,-0.965099,-1.85007,-3.44246
0.0330085,0,0,0,-0.14305,-0.0190533,-0.445752,0,-0.886997,-1.53717,-3.41897
0.044009,0,0,0,-0.143279,-0.0231967,-0.303208,0,-0.99725,-1.10958,-3.33284
0.0550098,0,0,0,-0.143544,-0.0257412,-0.177095,0,-0.957748,-0.731257,-3.16841
0.0660107,0,0,0,-0.143842,-0.0270514,-0.0633095,0,-0.952699,-0.389905,-3.12143
0.0769961,0,0,0,-0.144147,-0.0270879,0.0498136,0,-0.662131,-0.050538,-3.18407
0.0879944,0,0,0,-0.144434,-0.0262779,0.105386,0,-0.533837,0.116182,-3.26237
0.0989743,0,0,0,-0.144709,-0.0249313,0.115339,0,-0.362142,0.146046,-3.30935
0.110059,0,0,0,-0.144981,-0.0234796,0.128953,0,-0.285284,0.186887,-3.21539
0.12104,0,0,0,-0.145237,-0.0223008,0.0798566,0,-0.204259,0.0396015,-3.1136
0.131974,0,0,0,-0.145472,-0.0215701,0.052819,0,-0.137325,-0.041519,-3.10577
0.142995,0,0,0,-0.145713,-0.0213027,0.0245235,0,-0.112364,-0.126412,-2.90219
0.154012,0,0,0,-0.145941,-0.0213064,0.00628882,0,-0.111595,-0.181123,-2.66729
0.165014,0,0,0,-0.14617,-0.0212491,-0.0108238,0,-0.232498,-0.232467,-2.54201
0.176017,0,0,0,-0.146408,-0.0210477,0.0308546,0,-0.0417796,-0.107431,-2.42456
0.187018,0,0,0,-0.146641,-0.0205402,0.0885496,0,0.0892029,0.0656587,-2.41673
0.198016,0,0,0,-0.146858,-0.0196937,0.0729496,0,0.198516,0.0188683,-2.51852
0.209017,0,0,0,-0.147071,-0.0183258,0.126258,0,0.375039,0.178809,-2.70644
0.220022,0,0,0,-0.147259,-0.0166385,0.160788,0,0.666418,0.282443,-2.84738
0.231018,0,0,0,-0.147434,-0.0146008,0.212556,0,0.85824,0.437809,-3.01181
0.241979,0,0,0,-0.147579,-0.0125086,0.194639,0,1.07202,0.384152,-2.94134
0.253026,0,0,0,-0.147706,-0.0103094,0.179074,0,1.28782,0.337634,-2.89436
0.264021,0,0,0,-0.14781,-0.00819403,0.176474,0,1.36758,0.330112,-2.76908
0.275018,0,0,0,-0.147887,-0.00632521,0.175787,0,1.39992,0.32845,-2.70644
0.286023,0,0,0,-0.147947,-0.00449514,0.169041,0,1.30442,0.308968,-2.67512
0.29702,0,0,0,-0.147987,-0.00271762,0.144847,0,1.16969,0.23844,-2.58116
0.308035,0,0,0,-0.148007,-0.00100892,0.151281,0,1.10583,0.272348,-2.49503
0.319023,0,0,0,-0.14801,0.000239216,0.0616334,0,1.0337,0.277477,-2.44022
0.331021,0,0,0,-0.148003,0.000833833,0.0577603,0,1.0221,0.350995,-2.43239
0.342024,0,0,0,-0.14799,0.00151886,0.0603545,0,0.996019,0.374095,-2.4089
0.353023,0,0,0,-0.147968,0.00240224,0.085717,0,0.961744,0.45415,-2.52635
0.364018,0,0,0,-0.147936,0.00350904,0.128668,0,0.941931,0.584654,-2.54984
0.375025,0,0,0,-0.14789,0.00468165,0.112149,0,0.976869,0.535708,-2.55767
0.386025,0,0,0,-0.147833,0.00580243,0.101763,0,0.976095,0.504833,-2.57333
0.398022,0,0,0,-0.147759,0.00687699,0.0897608,0,0.965689,0.468956,-2.57333
0.409029,0,0,0,-0.147677,0.00769279,0.079458,0,0.993725,0.367498,-2.63597
0.420029,0,0,0,-0.147587,0.00819544,0.0340997,0,0.950352,0.302105,-2.74559
0.431025,0,0,0,-0.147497,0.00844294,0.00844861,0,0.838285,0.225203,-2.7221
0.441993,0,0,0,-0.147403,0.00835859,-0.0299296,0,0.723487,0.110091,-2.80823
0.453029,0,0,0,-0.147315,0.00798812,-0.0361417,0,0.652699,0.0914758,-2.77691
0.464032,0,0,0,-0.147228,0.00745208,-0.0584552,0,0.559941,0.0245555,-2.78474
0.474991,0,0,0,-0.147149,0.00668939,-0.0822268,0,0.400556,-0.0467377,-2.79257
0.486028,0,0,0,-0.147082,0.00583714,-0.0800534,0,0.377884,-0.0402141,-2.76908
0.496993,0,0,0,-0.147019,0.00490083,-0.0733141,0,0.334589,-0.0200161,-2.76125
0.508032,0,0,0,-0.146974,0.00401574,-0.0703928,0,0.386117,-0.0113147,-2.82389
0.519043,0,0,0,-0.146934,0.00309572,-0.0763434,0,0.340096,-0.0293283,-2.86304
0.531034,0,0,0,-0.146903,0.00220974,-0.0641958,0,0.350375,0.00672249,-2.957
0.542036,0,0,0,-0.146882,0.00156001,-0.0544844,0,0.415626,0.0348864,-2.98049
0.552997,0,0,0,-0.146868,0.00111185,-0.0289567,0,0.453351,0.109861,-2.99615
0.564036,0,0,0,-0.146857,0.000926389,-0.0139636,0,0.433382,0.154529,-2.97266
0.575033,0,0,0,-0.146847,0.000959274,-0.000512623,0,0.371503,0.195556,-2.957
0.586035,0,0,0,-0.146835,0.00119453,0.0395633,0,0.299929,0.317272,-2.93351
0.598033,0,0,0,-0.146819,0.00163272,0.0397989,0,0.267623,0.318696,-2.92568
0.609037,0,0,0,-0.146797,0.00222924,0.0591036,0,0.14525,0.376958,-2.88653
0.620039,0,0,0,-0.146768,0.00276693,0.00955778,0,0.037509,0.228435,-2.90219
0.631,0,0,0,-0.146735,0.00304948,0.014392,0,0.123367,0.242935,-2.96483
0.642037,0,0,0,-0.146704,0.00305937,-0.0122358,0,0.157801,0.163001,-3.06662
0.65304,0,0,0,-0.146671,0.00282303,-0.0287483,0,0.16816,0.113304,-3.09011
0.664039,0,0,0,-0.14664,0.002288,-0.0644664,0,0.162107,0.00594813,-3.1136
0.675039,0,0,0,-0.14662,0.00168749,-0.0662371,0,0.209524,0.000247177,-3.13709
0.686041,0,0,0,-0.146606,0.000899905,-0.0704396,0,0.205421,-0.0141631,-3.05879
0.698046,0,0,0,-0.1466,9.34718e-005,-0.041438,0,0.165565,-0.0106087,-3.05879
0.709044,0,0,0,-0.1466,1.94497e-005,0.00580847,0,0.145578,0.034039,-3.0353
0.720041,0,0,0,-0.146599,8.97181e-005,-0.00212045,0,0.0781738,0.0843921,-3.02747
0.731043,0,0,0,-0.146598,0.000149714,-0.000478999,0,0.0719029,0.148511,-2.93351
0.742046,0,0,0,-0.146596,0.00017463,0.0165847,0,0.10754,0.216286,-2.90219
0.753006,0,0,0,-0.146594,0.000215153,-0.0241711,0,0.103554,0.116127,-2.96483
0.765048,0,0,0,-0.146591,0.000275569,0.00456195,0,0.170078,0.206279,-2.96483
0.776047,0,0,0,-0.146588,0.000258803,-0.00546452,0,0.25876,0.173247,-2.957
0.787033,0,0,0,-0.146586,0.000179557,-0.000343966,0,0.268371,0.178305,-3.00398
0.798028,0,0,0,-0.146584,0.000143821,0.00914702,0,0.28144,0.166796,-3.01964
0.809046,0,0,0,-0.146583,0.000125246,-0.00440249,0,0.274642,0.114188,-3.02747
0.820047,0,0,0,-0.146581,0.000119397,0.0117176,0,0.317194,0.148828,-3.05879
0.831008,0,0,0,-0.14658,8.49876e-005,-0.00670573,0,0.326925,0.0681447,-3.02747
0.842051,0,0,0,-0.146579,6.3077e-005,-0.00290725,0,0.233496,0.0557748,-3.01964
0.853053,0,0,0,-0.146579,5.34785e-005,0.00892416,0,0.19018,0.0758935,-2.98832
0.865011,0,0,0,-0.146578,4.86049e-005,-0.00142892,0,0.271301,0.0450158,-2.8787
0.876061,0,0,0,-0.146578,3.77882e-005,0.0129005,0,0.237598,0.0701906,-2.91002
0.887063,0,0,0,-0.146577,2.00922e-005,0.00217047,0,0.257586,0.0255438,-2.90219
0.898051,0,0,0,-0.146577,7.27938e-006,-0.000480766,0,0.243871,0.00607183,-2.98049
0.909053,0,0,0,-0.146577,-1.05476e-005,-0.0128287,0,0.360747,-0.0427697,-2.98049
0.920048,0,0,0,-0.146578,-7.954e-005,-0.00604798,0,0.296919,-0.0947308,-3.04313
0.932053,0,0,0,-0.146579,-0.000160505,-0.00105421,0,0.318315,-0.163153,-3.05879
0.943015,0,0,0,-0.146581,-0.000205834,-0.0233053,0,0.30126,-0.251803,-3.05096
0.954054,0,0,0,-0.146584,-0.000382157,-0.0405008,0,0.307533,-0.315921,-3.00398
0.965055,0,0,0,-0.14659,-0.000692635,-0.0183701,0,0.25179,-0.253308,-2.99615
0.976053,0,0,0,-0.1466,-0.00113497,-0.0374614,0,0.210643,-0.311725,-3.00398
0.987058,0,0,0,-0.146615,-0.00159794,-0.0407232,0,0.191407,-0.321844,-2.99615
0.998075,0,0,0,-0.146636,-0.00209212,-0.0339499,0,0.229845,-0.301631,-3.05096
1.00885,0,0,0,-0.146662,-0.00248072,-0.024573,0,0.213304,-0.273561,-3.05879
1.02002,0,0,0,-0.146689,-0.00278141,-0.0456972,0,0.216743,-0.290142,-3.05879
1.03205,0,0,0,-0.146725,-0.00317135,-0.0305699,0,0.249021,-0.291562,-3.13709
1.04306,0,0,0,-0.146763,-0.00357642,-0.0389652,0,0.282693,-0.316767,-3.13709
1.05406,0,0,0,-0.146806,-0.0041475,-0.0595978,0,0.363121,-0.378683,-3.17624
1.06441,0,0,0,-0.146855,-0.00496081,-0.0946771,0,0.349438,-0.483924,-3.18407
1.07483,0,0,0,-0.146912,-0.00610032,-0.129029,0,0.328175,-0.587007,-3.16841
1.08528,0,0,0,-0.146982,-0.00753676,-0.156901,0,0.350164,-0.710249,-3.32501
1.09578,0,0,0,-0.147073,-0.00937981,-0.189345,0,0.251829,-0.767985,-3.36416
1.10613,0,0,0,-0.147179,-0.011315,-0.210975,0,0.233149,-0.832886,-3.41897
1.11663,0,0,0,-0.147313,-0.013631,-0.256143,0,0.161503,-0.968399,-3.49727
1.12708,0,0,0,-0.147466,-0.0159721,-0.222771,0,0.165375,-0.868292,-3.45812
1.1376,0,0,0,-0.147652,-0.0185002,-0.237178,0,0.0709324,-0.911519,-3.40331
1.14796,0,0,0,-0.147854,-0.020798,-0.227761,0,-0.109395,-0.883266,-3.49727
1.15851,0,0,0,-0.148079,-0.0229238,-0.200995,0,-0.307528,-0.802969,-3.45812
1.16894,0,0,0,-0.148337,-0.0249945,-0.180017,0,-0.363447,-0.740036,-3.30152
1.17954,0,0,0,-0.148603,-0.0267624,-0.143541,0,-0.55321,-0.630608,-3.26237
1.19014,0,0,0,-0.148898,-0.0280999,-0.11516,0,-0.496266,-0.545469,-3.19973
1.20076,0,0,0,-0.149206,-0.029327,-0.126614,0,-0.269249,-0.579837,-3.29369
1.21108,0,0,0,-0.149513,-0.0303889,-0.0691957,0,-0.24417,-0.40758,-3.48161
1.22173,0,0,0,-0.149844,-0.0311558,-0.0755333,0,-0.151738,-0.426592,-3.59123
1.23303,0,0,0,-0.150182,-0.0318038,-0.0510693,0,0.0249646,-0.3532,-3.59123
