DiscreteTask,32
TrialNumber,36,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,3663,N/A
MotionDuration,2.27309,(s)
targetTime,1.4,(s)
MaxResidAngle,9.77507,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00109371,0,0,0,-0.126431,0.000144934,-0.00690401,0,0.0824314,-0.0119238,-0.144546
0.0120218,0,0,0,-0.12643,3.08029e-005,0.00112105,0,0.0855167,0.0336186,-0.191526
0.0224628,0,0,0,-0.12643,4.30653e-005,-0.00495018,0,0.0760954,0.0282148,-0.144546
0.0333041,0,0,0,-0.12643,4.93027e-005,-0.00483876,0,0.102572,0.0371491,-0.191526
0.0438392,0,0,0,-0.126429,4.09007e-005,0.0129946,0,0.111505,0.0735394,-0.168036
0.0553734,0,0,0,-0.126429,3.10469e-005,-0.00551726,0,0.0895779,0.0171891,-0.152376
0.0660663,0,0,0,-0.126429,1.37858e-005,0.00284727,0,0.0743085,0.0209374,-0.175866
0.0766539,0,0,0,-0.126429,-1.52981e-005,-0.00115536,0,0.0159943,-0.0187642,-0.121056
0.0870294,0,0,0,-0.126429,-2.6647e-005,0.000899973,0,0.0388983,-0.0243866,-0.128886
0.0976676,0,0,0,-0.126429,-6.57662e-005,-0.00521417,0,0.0093362,-0.0788627,-0.152376
0.108659,0,0,0,-0.12643,-5.45385e-005,-0.00678665,0,0.0111228,-0.0715847,-0.136716
0.119051,0,0,0,-0.12643,-5.03652e-005,0.015479,0,0.0177808,-0.0114863,-0.128886
