DiscreteTask,32
TrialNumber,14,N/A
Success,1,(bool)
TrialScore,99,N/A
TotalScoreSinceBlockBegan,1484,N/A
MotionDuration,1.61453,(s)
targetTime,1.4,(s)
MaxResidAngle,25.2704,(s)
StartToTargetDistance,0.25,(m)
HMInertia,3,(kg)
PendulumMass,1.1,(kg)
PendulumDamping,0,(N.m.s)
PendulumLength,0.5,(m)
ArcOfCup,2.26893,(rad)
PendulumInitialAngle,0,(rad)
PendulumInitialVelocity,0,(rad/s)
TargetAccuracyFactor,1.3,(target width=factor*cup width)
CartAccelerationAmplificationFactor,1,N/A
VisualScalingFactor,6,(visual=factor*real)
CupAdditionalVisualScalingFactor,0.025,(visual_cup=additionalFactor*visualFactor*real)
AutoStartMode,0,(bool)
CanBallEscape,0,(bool)
DampingEnOfMotion,0,(bool)
PerturbationInBlock,0,(bool)
PerturbationInTrial,N/A,(bool)
PerturbationMagnitude,N/A,(N)
PerturbationDuration,N/A,(s)
PerturbationDistance,N/A,percentage of start to target distance)
PerturbationDirection,N/A,(+1:right, -1:left)
PerturbationVisible,N/A,(bool)
PerturbationRandomEvent,N/A,(bool)
PerturbationRandomDistance,N/A,(bool)
PerturbationRandomDirection,N/A,(bool)
Time,Pendulum_Angle,Pendulum_AngularVel,Pendulum_AngularAcc,Cart_Pos_X,Cart_Vel_X,Cart_Acc_X,Ball_Force,User_Force_X,User_Force_Y,User_Force_Z
(s),(rad),(rad/s),(rad/s/s),(m),(m/s),(m/s/s),(N),(N),(N),(N)
0.00104623,0,0,0,-0.127244,0.00512439,0.0504829,0,-2.4366,0.247801,-4.9835
0.0118354,0,0,0,-0.127186,0.00530268,0.0112483,0,-2.46492,0.231363,-5.11661
0.0222968,0,0,0,-0.127128,0.00545254,0.0208234,0,-2.45775,0.260215,-5.12444
0.0328028,0,0,0,-0.127072,0.00556627,0.00803924,0,-2.5561,0.222485,-5.08529
0.0431377,0,0,0,-0.127011,0.00562093,0.00256389,0,-2.51976,0.205511,-5.2184
0.054127,0,0,0,-0.126951,0.00560418,-0.00103043,0,-2.57096,0.1947,-5.20274
0.0647121,0,0,0,-0.126891,0.00553507,-0.0187113,0,-2.57591,0.141623,-5.24972
0.0752672,0,0,0,-0.126836,0.00533563,-0.00655204,0,-2.59477,0.130548,-5.24189
0.0861393,0,0,0,-0.12678,0.00509563,-0.0327188,0,-2.59432,0.0993191,-5.28104
0.0980902,0,0,0,-0.126722,0.00476223,-0.0327444,0,-2.59433,0.0990554,-5.2967
0.10909,0,0,0,-0.12667,0.00438975,-0.047532,0,-2.50811,0.0544395,-5.28104
0.120092,0,0,0,-0.126623,0.00398825,-0.0388513,0,-2.55034,0.0800707,-5.26538
0.130974,0,0,0,-0.126583,0.00356181,-0.0327973,0,-2.49738,0.0977208,-5.24189
0.142158,0,0,0,-0.126547,0.00309852,-0.0459992,0,-2.45874,0.0571804,-5.20274
0.15311,0,0,0,-0.126516,0.00251089,-0.0418291,0,-2.4399,0.0678367,-5.23406
0.164172,0,0,0,-0.12649,0.00190754,-0.0607986,0,-2.44657,0.00763658,-5.24189
